kode_ruang,nama_ruang,kode_gedung,lantai,kapasitas,is_active
A101,XI RPL 1,A,1,36,1
A102,XI RPL 2,A,1,36,1
A103,XII RPL 1,A,1,36,1
A104,XII RPL 2,A,1,36,1
A105,X MP 1,A,1,36,1
A106,X MP 2,A,1,36,1
A107,X MP 3,A,1,36,1
B201,X AK 1,B,2,35,1
B202,X AK 2,B,2,35,1
B203,X AK 3,B,2,35,1
B204,XI BD 1,B,2,35,1
B205,XI BD 2,B,2,35,1
C201,XI MP 1,C,1,34,1
C202,XI MP 2,C,1,34,1
C203,XII AK 1,C,1,34,1
C204,XII AK 2,C,1,34,1
D201,XI RPL 3,D,1,34,1
D202,XII RPL 3,D,1,34,1
D203,XII MP 1,D,1,34,1
E101,Perpustakaan L1,E,1,60,1
E201,Perpustakaan L2,E,2,40,1
F101,Kantor TU F,1,30,1
G101,Mushola Utama,G,1,80,1
H101,Aula Serbaguna H,1,200,1
I101,Kantin dan Koperasi,1,120,1
